time,mV
0.0000000,-1.052843455
0.0000013,-1.162733528
0.0000027,-1.17437716
0.0000040,0.040536707
0.0000053,1.225551777
0.0000067,1.12825672
0.0000080,1.19697351
0.0000093,1.154106483
0.0000107,1.180156013
0.0000120,1.16513987
0.0000133,1.172776694
0.0000147,1.169338864
0.0000160,1.169812892
0.0000173,1.170297705
0.0000187,1.169419441
0.0000200,1.170772993
0.0000213,1.169880293
0.0000227,1.170911811
0.0000240,1.169515281
0.0000253,1.172337673
0.0000267,1.147270013
0.0000280,0.964223098
0.0000293,0.753783115
0.0000307,0.574374963
0.0000320,0.419569717
0.0000333,0.287634589
0.0000347,0.17827788
0.0000360,0.092869371
0.0000373,0.025357038
0.0000387,-0.015925104
0.0000400,-0.044968962
0.0000413,-0.060211458
0.0000427,-0.062620404
0.0000440,-0.053340663
0.0000453,-0.044928593
0.0000467,-0.028527223
0.0000480,-0.007236863
0.0000493,0.016511824
0.0000507,0.042238294
0.0000520,0.061995712
0.0000533,0.080345196
0.0000547,0.09546408
0.0000560,0.109454916
0.0000573,0.116759088
0.0000587,0.121955689
0.0000600,0.117557025
0.0000613,0.112756944
0.0000627,0.104346472
0.0000640,0.094962416
0.0000653,0.078348225
0.0000667,0.059186647
0.0000680,0.044266468
0.0000693,0.029654122
0.0000707,0.016891567
0.0000720,-8.81E-05
0.0000733,-0.012113673
0.0000747,-0.022283158
0.0000760,-0.033703775
0.0000773,-0.048112977
0.0000787,-0.057529473
0.0000800,-0.062030138
0.0000813,-0.060320876
0.0000827,-0.057052593
0.0000840,-0.056183188
0.0000853,-0.052856384
0.0000867,-0.03994199
0.0000880,-0.029973377
0.0000893,-0.016770612
0.0000907,-0.005260855
0.0000920,0.003756048
0.0000933,0.014653944
0.0000947,0.024403888
0.0000960,0.037430546
0.0000973,0.043706582
0.0000987,0.039677549
0.0001000,0.044064416
0.0001013,0.051631558
0.0001027,0.054448082
0.0001040,0.058119751
0.0001053,0.049668996
0.0001067,0.040661743
0.0001080,0.034986098
0.0001093,0.021885618
0.0001107,0.015575774
0.0001120,0.006491243
0.0001133,0.004859081
0.0001147,-0.002033842
0.0001160,-0.009976829
0.0001173,-0.01295543
0.0001187,-0.017056322
0.0001200,-0.017854982
0.0001213,-0.022835733
0.0001227,-0.025633371
0.0001240,-0.029438906
0.0001253,-0.029126922
0.0001267,-0.022409028
0.0001280,-0.022509966
0.0001293,-0.024209506
0.0001307,-0.017479298
0.0001320,-0.010628837
0.0001333,-0.001652754
0.0001347,0.004037181
0.0001360,0.006683238
0.0001373,0.012163903
0.0001387,0.016846594
0.0001400,0.023926757
0.0001413,0.029714448
0.0001427,0.034449875
0.0001440,0.032447607
0.0001453,0.031793118
0.0001467,0.02933275
0.0001480,0.022255162
0.0001493,0.023261596
0.0001507,0.020335674
0.0001520,0.017015705
0.0001533,0.007849406
0.0001547,0.004939365
0.0001560,0.003851285
0.0001573,-0.004374983
0.0001587,-0.009420482
0.0001600,-0.00656294
0.0001613,-0.011997761
0.0001627,-0.013015637
0.0001640,-0.012874059
0.0001653,-0.016077364
0.0001667,-0.020309523
0.0001680,-0.01923263
0.0001693,-0.019427683
0.0001707,-0.013528923
0.0001720,-0.010916767
0.0001733,-0.010800745
0.0001747,-0.00024675
0.0001760,0.002278764
0.0001773,0.005356086
0.0001787,0.008778282
0.0001800,0.012273285
0.0001813,0.011056867
0.0001827,0.01403535
0.0001840,0.017550348
0.0001853,0.011827122
0.0001867,0.015582839
0.0001880,0.016818707
0.0001893,0.012654659
0.0001907,0.014558732
0.0001920,0.013844434
0.0001933,0.010680295
0.0001947,0.007081212
0.0001960,0.002216554
0.0001973,-0.001280241
0.0001987,0.001002342
0.0002000,0.007997658
0.0002013,0.001150196
0.0002027,-0.007128428
0.0002040,-0.00500655
0.0002053,-0.00630124
0.0002067,-0.005640072
0.0002080,-0.005850178
0.0002093,-0.005009487
0.0002107,-0.004354816
0.0002120,-0.006965941
0.0002133,-0.00070642
0.0002147,-6.73E-05
0.0002160,0.00281802
0.0002173,0.005653258
0.0002187,0.001536005
0.0002200,0.006255005
0.0002213,0.004743479
0.0002227,0.010332714
0.0002240,0.01243355
0.0002253,0.013139497
0.0002267,0.009016936
0.0002280,0.006662213
0.0002293,0.009095714
0.0002307,0.008901975
0.0002320,0.008205201
0.0002333,0.007943832
0.0002347,0.014082
0.0002360,0.009397611
0.0002373,0.005565212
0.0002387,0.007302148
0.0002400,0.004870839
0.0002413,0.000358037
0.0002427,-0.003458771
0.0002440,-0.00324835
0.0002453,0.001989038
0.0002467,0.001340025
0.0002480,0.002720432
0.0002493,0.00398569
0.0002507,0.001236868
0.0002520,0.003039143
0.0002533,0.003186056
0.0002547,0.002639469
0.0002560,0.000684709
0.0002573,0.000281877
0.0002587,4.85E-05
0.0002600,0.005449406
0.0002613,0.002915326
0.0002627,0.002301195
0.0002640,0.000262169
0.0002653,-0.002783032
0.0002667,-0.000119455
0.0002680,0.002981158
0.0002693,0.005586487
0.0002707,0.005160664
0.0002720,0.004082038
0.0002733,0.002137191
0.0002747,-0.001590978
0.0002760,0.000961199
0.0002773,0.003559854
0.0002787,0.001893789
0.0002800,-0.000444498
0.0002813,-0.0023515
0.0002827,0.002135141
0.0002840,0.005069871
0.0002853,0.006638338
0.0002867,0.008091672
0.0002880,0.005975015
0.0002893,0.008300136
0.0002907,0.006136039
0.0002920,0.005455346
0.0002933,0.000494041
0.0002947,0.000323764
0.0002960,-0.0007262
0.0002973,0.000270026
0.0002987,0.004773521
0.0003000,0.002995177
0.0003013,0.004179603
0.0003027,0.003233432
0.0003040,0.001224291
0.0003053,-0.003824319
0.0003067,0.001770915
0.0003080,0.001800825
0.0003093,-0.000908048
0.0003107,-0.000351894
0.0003120,-0.001314575
0.0003133,0.004923507
0.0003147,0.012078743
0.0003160,0.00766557
0.0003173,-2.46E-05
0.0003187,0.000888535
0.0003200,0.000330946
0.0003213,-0.005531647
0.0003227,-0.003399741
0.0003240,-0.001058302
0.0003253,-0.002677542
0.0003267,0.0002218
0.0003280,0.003901305
0.0003293,0.00647446
0.0003307,0.000986936
0.0003320,0.002356099
0.0003333,0.005750539
0.0003347,0.007865538
0.0003360,0.009217109
0.0003373,0.007768576
0.0003387,0.006794863
0.0003400,0.002556242
0.0003413,-0.00443094
0.0003427,0.001498584
0.0003440,0.01126777
0.0003453,0.00650792
0.0003467,0.003194093
0.0003480,0.00057044
0.0003493,-9.40E-05
0.0003507,0.003076397
0.0003520,0.004636156
0.0003533,0.000718488
0.0003547,-0.000870369
0.0003560,0.000903916
0.0003573,0.005145771
0.0003587,-0.000104638
0.0003600,-0.000192684
0.0003613,-0.000424778
0.0003627,-0.00440125
0.0003640,-0.004630201
0.0003653,0.00073968
0.0003667,0.003066307
0.0003680,0.005724538
0.0003693,0.010840773
0.0003707,0.001960394
0.0003720,0.002981734
0.0003733,0.001905899
0.0003747,0.006354977
0.0003760,0.008802636
0.0003773,0.006467155
0.0003787,0.009169914
0.0003800,0.013681507
0.0003813,0.010140561
0.0003827,0.003680691
0.0003840,0.00548366
0.0003853,0.003572505
0.0003867,0.000988983
0.0003880,0.00226633
0.0003893,0.002318982
0.0003907,0.002512077
0.0003920,0.003810483
0.0003933,5.46E-05
0.0003947,-0.005273687
0.0003960,-0.000487857
0.0003973,-0.002071232
0.0003987,-0.003344101
0.0004000,-0.001418963
0.0004013,-0.003724212
0.0004027,-0.000735298
0.0004040,0.000613808
0.0004053,-0.001079704
0.0004067,0.002486009
0.0004080,0.006990359
0.0004093,0.004013782
0.0004107,0.00257103
0.0004120,0.00169959
0.0004133,0.000101476
0.0004147,0.002009536
0.0004160,0.004577756
0.0004173,0.002365342
0.0004187,0.005741266
0.0004200,0.005768368
0.0004213,0.001747989
0.0004227,0.000979716
0.0004240,0.004053821
0.0004253,0.010217961
0.0004267,0.007770135
0.0004280,0.002866018
0.0004293,0.003712502
0.0004307,0.006562379
0.0004320,0.007945275
0.0004333,0.002996335
0.0004347,-0.000587267
0.0004360,0.001044641
0.0004373,0.001005408
0.0004387,0.002786017
0.0004400,0.00548574
0.0004413,0.002137194
0.0004427,0.004348507
0.0004440,0.000370433
0.0004453,-0.001217748
0.0004467,0.00012191
0.0004480,-0.006835152
0.0004493,-0.001261754
0.0004507,-0.000954623
0.0004520,0.000797949
0.0004533,0.003647203
0.0004547,0.006215773
0.0004560,0.004842548
0.0004573,0.001384409
0.0004587,0.004735059
0.0004600,0.006460605
0.0004613,0.006442388
0.0004627,0.008291019
0.0004640,0.010444689
0.0004653,0.009098926
0.0004667,0.005598175
0.0004680,-0.005023001
0.0004693,-0.011703823
0.0004707,-0.002793052
0.0004720,0.003021437
0.0004733,0.005713432
0.0004747,0.00321676
0.0004760,0.003154069
0.0004773,0.001624851
0.0004787,0.002190782
0.0004800,0.004907829
0.0004813,0.00272377
0.0004827,0.005209532
0.0004840,0.003789711
0.0004853,0.002485774
0.0004867,0.000397121
0.0004880,0.001219717
0.0004893,0.002353873
0.0004907,0.002066835
0.0004920,0.003283099
0.0004933,0.003598438
0.0004947,0.003939259
0.0004960,0.006017122
0.0004973,0.001803938
0.0004987,0.002305175
0.0005000,-0.000870151
0.0005013,0.000694707
0.0005027,0.006270204
0.0005040,0.003429458
0.0005053,0.001983276
0.0005067,-0.000639839
0.0005080,0.001006773
0.0005093,0.002203558
0.0005107,0.002999983
0.0005120,0.005157056
0.0005133,0.002616799
0.0005147,-0.00023467
0.0005160,0.001963906
0.0005173,0.001853489
0.0005187,0.001048904
0.0005200,0.00176196
0.0005213,0.004197094
0.0005227,0.00501988
0.0005240,0.002940515
0.0005253,0.002477714
0.0005267,0.00048959
0.0005280,0.000811751
0.0005293,0.006276763
0.0005307,0.005310701
0.0005320,0.005434819
0.0005333,0.00546591
0.0005347,0.004601004
0.0005360,0.004845517
0.0005373,0.007430852
0.0005387,0.005795386
0.0005400,0.01159169
0.0005413,0.007987681
0.0005427,0.005452646
0.0005440,0.010194251
0.0005453,0.003498677
0.0005467,-0.004375366
0.0005480,-0.005591742
0.0005493,-0.001367806
0.0005507,0.001004867
0.0005520,0.001174058
0.0005533,0.00391785
0.0005547,0.00055908
0.0005560,-0.003753057
0.0005573,-0.000775586
0.0005587,-0.006958765
0.0005600,-0.005902261
0.0005613,0.00193033
0.0005627,0.005018105
0.0005640,0.006173031
0.0005653,0.003676666
0.0005667,0.003151397
0.0005680,0.003687258
0.0005693,0.00079826
0.0005707,0.003484841
0.0005720,0.00264297
0.0005733,0.001525913
0.0005747,0.00363201
0.0005760,0.006171884
0.0005773,0.008725982
0.0005787,0.005565896
0.0005800,0.003696778
0.0005813,0.010598399
0.0005827,0.008192763
0.0005840,0.001709214
0.0005853,0.00424977
0.0005867,0.00031507
0.0005880,1.50E-05
0.0005893,-0.004703788
0.0005907,-0.003992256
0.0005920,0.003637772
0.0005933,-8.14E-05
0.0005947,-0.001821534
0.0005960,-0.002454045
0.0005973,0.000605574
0.0005987,-0.000808175
0.0006000,0.002173154
0.0006013,0.007754186
0.0006027,0.005293043
0.0006040,-0.000813768
0.0006053,-0.00179601
0.0006067,0.001723937
0.0006080,-0.000788339
0.0006093,0.004242556
0.0006107,0.003914826
0.0006120,0.003748499
0.0006133,0.001568229
0.0006147,0.0043101
0.0006160,0.00325533
0.0006173,0.002862805
0.0006187,0.003677991
0.0006200,0.003523682
0.0006213,0.002836746
0.0006227,-0.000523278
0.0006240,-0.000271902
0.0006253,-0.000507239
0.0006267,0.002356226
0.0006280,0.007358954
0.0006293,0.008820313
0.0006307,0.008752038
0.0006320,0.005582354
0.0006333,0.005833498
0.0006347,0.002929794
0.0006360,-0.004957809
0.0006373,-0.004048505
0.0006387,0.001283835
0.0006400,0.000785259
0.0006413,0.000428172
0.0006427,0.001346745
0.0006440,0.002258676
0.0006453,-0.000241442
0.0006467,-0.000151815
0.0006480,0.001455083
0.0006493,0.004060259
0.0006507,0.003322151
0.0006520,-0.006897644
0.0006533,0.00660284
0.0006547,-0.00673891
0.0006560,0.023686765
0.0006573,-0.023280233
0.0006587,0.06092407
0.0006600,-0.558345149
0.0006613,-1.215724578
0.0006627,-1.149576574
0.0006640,-1.168036431
0.0006653,-1.185735186
0.0006667,-1.129144376
0.0006680,-1.232979126
0.0006693,-0.091641173
0.0006707,1.215141482
0.0006720,1.133103281
0.0006733,1.193210617
0.0006747,1.157162726
0.0006760,1.177698755
0.0006773,1.166360597
0.0006787,1.171504556
0.0006800,1.169854575
0.0006813,1.169420448
0.0006827,1.170648967
0.0006840,1.169161598
0.0006853,1.171080531
0.0006867,1.169457867
0.0006880,1.17243385
0.0006893,1.150806534
0.0006907,1.000398247
0.0006920,0.840428024
0.0006933,0.7118697
0.0006947,0.592319792
0.0006960,0.489484702
0.0006973,0.406202744
0.0006987,0.33583809
0.0007000,0.274361957
0.0007013,0.221312017
0.0007027,0.171928159
0.0007040,0.133764226
0.0007053,0.106550391
0.0007067,0.074929682
0.0007080,0.051464464
0.0007093,0.034358273
0.0007107,0.019345001
0.0007120,0.013133717
0.0007133,0.007870514
0.0007147,0.004135104
0.0007160,0.006495782
0.0007173,0.007652515
0.0007187,0.008061589
0.0007200,0.010036942
0.0007213,0.010278848
0.0007227,0.012999515
0.0007240,0.020742368
0.0007253,0.023855816
0.0007267,0.030808611
0.0007280,0.034253776
0.0007293,0.034617115
0.0007307,0.034979081
0.0007320,0.031764024
0.0007333,0.021880266
0.0007347,0.017454571
0.0007360,0.015711882
0.0007373,0.014937861
0.0007387,0.01085674
0.0007400,0.010342782
0.0007413,0.009977021
0.0007427,0.004750259
0.0007440,0.004034971
0.0007453,-0.003740439
0.0007467,-0.00531575
0.0007480,-0.013341123
0.0007493,-0.014062149
0.0007507,-0.011623124
0.0007520,-0.018867635
0.0007533,-0.016123306
0.0007547,-0.015336906
0.0007560,-0.013726861
0.0007573,-0.010445808
0.0007587,-0.012398914
0.0007600,-0.009677926
0.0007613,-0.010949266
0.0007627,-0.014011263
0.0007640,-0.010425793
0.0007653,-0.010572306
0.0007667,-0.013199131
0.0007680,-0.010893072
0.0007693,-0.009074383
0.0007707,-0.013052971
0.0007720,-0.015487261
0.0007733,-0.006256091
0.0007747,-0.003650851
0.0007760,-0.001954276
0.0007773,-0.001483723
0.0007787,-0.000834367
0.0007800,-0.00137548
0.0007813,-0.001791444
0.0007827,-0.006081328
0.0007840,-0.010179034
0.0007853,-0.008356474
0.0007867,-0.004961893
0.0007880,-0.007766582
0.0007893,-0.010586084
0.0007907,-0.011269696
0.0007920,-0.009481113
0.0007933,-0.00415401
0.0007947,-0.007150078
0.0007960,-0.006608983
0.0007973,-0.003616774
0.0007987,-0.009665738
0.0008000,-0.013439571
0.0008013,-0.005159444
0.0008027,-0.005847505
0.0008040,-0.002278315
0.0008053,-0.001365134
0.0008067,-0.008995124
0.0008080,-0.008391129
0.0008093,-0.010343224
0.0008107,-0.007670307
0.0008120,-0.007064643
0.0008133,-0.007508524
0.0008147,-0.006402171
0.0008160,-0.006054355
0.0008173,-0.004353026
0.0008187,-0.007803094
0.0008200,-0.00959988
0.0008213,-0.009975803
0.0008227,-0.004861477
0.0008240,-0.00445434
0.0008253,-0.003192782
0.0008267,-0.002129728
0.0008280,-0.005680651
0.0008293,-0.004889413
0.0008307,-0.002984777
0.0008320,-0.005146537
0.0008333,-0.003886511
0.0008347,-0.001850181
0.0008360,-0.002496075
0.0008373,-0.007929433
0.0008387,-0.006917246
0.0008400,-0.003495416
0.0008413,-0.002134477
0.0008427,-0.002732625
0.0008440,-0.006869538
0.0008453,-0.004793229
0.0008467,-0.003107299
0.0008480,-0.005843921
0.0008493,-0.007466267
0.0008507,-0.006258086
0.0008520,-0.007195087
0.0008533,-0.009069068
0.0008547,-0.012427092
0.0008560,-0.010742288
0.0008573,-0.006961895
0.0008587,-0.002715615
0.0008600,-0.0033739
0.0008613,-0.004661715
0.0008627,-0.007396911
0.0008640,-0.00929291
0.0008653,-0.005293331
0.0008667,-0.005806069
0.0008680,-0.011290902
0.0008693,-0.011903871
0.0008707,-0.009723018
0.0008720,-0.006061083
0.0008733,-0.003600684
0.0008747,-0.002968416
0.0008760,0.000743044
0.0008773,0.000149527
0.0008787,9.33E-05
0.0008800,0.000945854
0.0008813,0.000904338
0.0008827,0.000139803
0.0008840,-0.004076882
0.0008853,-0.005254737
0.0008867,-0.008644339
0.0008880,-0.010335798
0.0008893,-0.010446546
0.0008907,-0.005898091
0.0008920,-0.00454705
0.0008933,-0.006834428
0.0008947,-0.009522135
0.0008960,-0.008104063
0.0008973,-0.006121736
0.0008987,-0.007231597
0.0009000,-0.007368782
0.0009013,-0.01063964
0.0009027,-0.012195852
0.0009040,-0.01146218
0.0009053,-0.008970602
0.0009067,-0.00942109
0.0009080,-0.007340333
0.0009093,-0.006813962
0.0009107,-0.002580455
0.0009120,0.003348479
0.0009133,0.005447134
0.0009147,0.005848695
0.0009160,0.00055658
0.0009173,-0.002492509
0.0009187,-0.002653194
0.0009200,-0.003490945
0.0009213,-0.003455803
0.0009227,-0.008330108
0.0009240,-0.005894981
0.0009253,-0.003490432
0.0009267,-0.001717728
0.0009280,-0.002372575
0.0009293,-0.005237559
0.0009307,-0.002244607
0.0009320,-0.002804151
0.0009333,0.000281275
0.0009347,-0.007714249
0.0009360,-0.01185464
0.0009373,-0.007148959
0.0009387,-0.006051042
0.0009400,-0.007864678
0.0009413,-0.009968448
0.0009427,-0.012520131
0.0009440,-0.00968754
0.0009453,-0.007533496
0.0009467,-0.008136977
0.0009480,-0.010029473
0.0009493,-0.007580752
0.0009507,-0.006323979
0.0009520,-0.004151681
0.0009533,0.000263428
0.0009547,-0.0023606
0.0009560,-0.000745546
0.0009573,0.0023038
0.0009587,-0.000890303
0.0009600,-0.000117629
0.0009613,-0.007886331
0.0009627,-0.004145272
0.0009640,-0.005318576
0.0009653,-0.00691157
0.0009667,-0.003184635
0.0009680,-0.000936044
0.0009693,-0.000794058
0.0009707,0.000103901
0.0009720,0.000538058
0.0009733,-0.002192136
0.0009747,-0.002707332
0.0009760,0.00032527
0.0009773,-0.002198461
0.0009787,-0.009350285
0.0009800,-0.009674701
0.0009813,-0.013518197
0.0009827,-0.012832953
0.0009840,-0.013160489
0.0009853,-0.00948406
0.0009867,-0.008113428
0.0009880,-0.008783936
0.0009893,-0.010023342
0.0009907,-0.008399765
0.0009920,-0.004431651
0.0009933,-0.003510959
0.0009947,-0.006378985
0.0009960,-0.010849234
0.0009973,-0.002990086
0.0009987,-0.00233029
0.0010000,-0.000762641
0.0010013,-0.00057646
0.0010027,-0.000526755
0.0010040,0.000971493
0.0010053,-0.001725334
0.0010067,0.002672661
0.0010080,0.002922051
0.0010093,-0.001489329
0.0010107,-0.001505341
0.0010120,0.001531973
0.0010133,-0.005395719
0.0010147,-0.00483022
0.0010160,-0.002900276
0.0010173,-0.003002868
0.0010187,-0.004727686
0.0010200,-0.00819818
0.0010213,-0.011181901
0.0010227,-0.010533782
0.0010240,-0.004656081
0.0010253,-0.005026045
0.0010267,-0.008062821
0.0010280,-0.006324685
0.0010293,-0.007431534
